"City","Population","Elevation","AdministrativeDivision","Country"
"Niquelandia",29342,6.3e2,"Goias, Brazil","Brazil"
"Promissao",38764,4.e2,"São Paulo, Brazil","Brazil"
"Miracema do Tocantins",19634,2.e2,"Tocantins, Brazil","Brazil"
"Nova Venecia",29121,1.5e2,"Espirito Santo, Brazil","Brazil"
"Torres",29042,7.,"Rio Grande Do Sul, Brazil","Brazil"
"Santa Rita do Sapucai",29031,8.2e2,"Minas Gerais, Brazil","Brazil"
"Visconde do Rio Branco",28955,3.3e2,"Minas Gerais, Brazil","Brazil"
"Sao Gotardo",28849,1.1e3,"Minas Gerais, Brazil","Brazil"
"Ico",28817,1.5e2,"Ceara, Brazil","Brazil"
"Toritama",37631,3.7e2,"Pernambuco, Brazil","Brazil"
"Santana do Araguaia",28632,2.e2,"Para, Brazil","Brazil"
"Palmeira das Missoes",28608,6.e2,"Rio Grande Do Sul, Brazil","Brazil"
"Cravinhos",34110,8.3e2,"São Paulo, Brazil","Brazil"
"Barra dos Coqueiros",28586,2.,"Sergipe, Brazil","Brazil"
"Sao Fidelis",28584,18.,"Rio de Janeiro, Brazil","Brazil"
"Goiatuba",28548,8.1e2,"Goias, Brazil","Brazil"
"Itaitinga",28519,67.,"Ceara, Brazil","Brazil"
"Coxim",28507,2.3e2,"Mato Grosso do Sul, Brazil","Brazil"
"Tome‐Acu",28451,29.,"Para, Brazil","Brazil"
"Igarape",28411,7.9e2,"Minas Gerais, Brazil","Brazil"
"Ubaitaba",28375,86.,"Bahia, Brazil","Brazil"
"Salinas",28310,4.8e2,"Minas Gerais, Brazil","Brazil"
"Presidente Dutra",28290,1.2e2,"Maranhao, Brazil","Brazil"
"Canavieiras",32331,9.,"Bahia, Brazil","Brazil"
"Ipora",28254,5.5e2,"Goias, Brazil","Brazil"
"Colinas do Tocantins",30838,"QuantityMagnitude[Missing[""NotAvailable""]]","Tocantins, Brazil","Brazil"
"Bom Jesus do Itabapoana",28247,1.6e2,"Rio de Janeiro, Brazil","Brazil"
"Tabatinga",28229,87.,"Amazonas, Brazil","Brazil"
"Gramado",32273,8.1e2,"Rio Grande Do Sul, Brazil","Brazil"
"Humaita",28079,54.,"Amazonas, Brazil","Brazil"
"Santa Cruz",28055,2.3e2,"Rio Grande do Norte, Brazil","Brazil"
"Pimenta Bueno",28019,1.8e2,"Rondonia, Brazil","Brazil"
"Lucas do Rio Verde",28017,1.3e2,"Mato Grosso, Brazil","Brazil"
"Ribeira do Pombal",28012,2.e2,"Bahia, Brazil","Brazil"
"Louveira",43862,6.9e2,"São Paulo, Brazil","Brazil"
"Assis Chateaubriand",33025,4.1e2,"Parana, Brazil","Brazil"
"Bandeirantes",27785,4.2e2,"Parana, Brazil","Brazil"
"Jose Bonifacio",35538,4.2e2,"São Paulo, Brazil","Brazil"
"Candido Mota",31131,4.9e2,"São Paulo, Brazil","Brazil"
"Sao Mateus do Maranhao",27723,45.,"Maranhao, Brazil","Brazil"
"Jaguariaiva",27633,8.9e2,"Parana, Brazil","Brazil"
"Guaira",27611,2.6e2,"Parana, Brazil","Brazil"
"Cajati",28962,63.,"São Paulo, Brazil","Brazil"
"Ze Doca",27562,23.,"Maranhao, Brazil","Brazil"
"Itambe",27491,"QuantityMagnitude[Missing[""NotAvailable""]]","Pernambuco, Brazil","Brazil"
"Piumhi",31883,8.e2,"Minas Gerais, Brazil","Brazil"
"Ipira",27442,3.7e2,"Bahia, Brazil","Brazil"
"Porto Uniao",27440,7.7e2,"Santa Catarina, Brazil","Brazil"
"Aguai",34863,6.6e2,"São Paulo, Brazil","Brazil"
"Campina Grande do Sul",27281,9.1e2,"Parana, Brazil","Brazil"
"Sao Miguel do Guama",27185,12.,"Para, Brazil","Brazil"
"Santa Vitoria do Palmar",27165,17.,"Rio Grande Do Sul, Brazil","Brazil"
"Guaratuba",27156,14.,"Parana, Brazil","Brazil"
"Acarau",27135,11.,"Ceara, Brazil","Brazil"
"Ibate",33535,8.2e2,"São Paulo, Brazil","Brazil"
"Mata de Sao Joao",26996,34.,"Bahia, Brazil","Brazil"
"Aripuana",26983,1.5e2,"Mato Grosso, Brazil","Brazil"
"Altos",26858,1.9e2,"Piaui, Brazil","Brazil"
"Osvaldo Cruz",32475,4.6e2,"São Paulo, Brazil","Brazil"
"Bom Conselho",26690,6.5e2,"Pernambuco, Brazil","Brazil"
"Viana",26689,9.,"Maranhao, Brazil","Brazil"
"Minacu",31154,3.5e2,"Goias, Brazil","Brazil"
"Guararapes",32346,4.1e2,"São Paulo, Brazil","Brazil"
"Brumadinho",36748,7.7e2,"Minas Gerais, Brazil","Brazil"
"Itaperucu",26546,9.6e2,"Parana, Brazil","Brazil"
"Santo Antonio da Patrulha",26510,"QuantityMagnitude[Missing[""NotAvailable""]]","Rio Grande Do Sul, Brazil","Brazil"
"Santa Fe do Sul",31348,3.7e2,"São Paulo, Brazil","Brazil"
"Andradas",26450,8.8e2,"Minas Gerais, Brazil","Brazil"
"Ivaipora",31816,6.4e2,"Parana, Brazil","Brazil"
"Barra do Bugres",31793,1.7e2,"Mato Grosso, Brazil","Brazil"
"Lago da Pedra",26267,65.,"Maranhao, Brazil","Brazil"
"Juara",33851,"QuantityMagnitude[Missing[""NotAvailable""]]","Mato Grosso, Brazil","Brazil"
"Dom Eliseu",57251,"QuantityMagnitude[Missing[""NotAvailable""]]","Para, Brazil","Brazil"
"Pojuca",26218,65.,"Bahia, Brazil","Brazil"
"Maracaju",26034,3.9e2,"Mato Grosso do Sul, Brazil","Brazil"
"Euclides da Cunha",26028,4.9e2,"Bahia, Brazil","Brazil"
"Ouro Preto do Oeste",25958,2.5e2,"Rondonia, Brazil","Brazil"
"Rio Pardo",25934,51.,"Rio Grande Do Sul, Brazil","Brazil"
"Caetite",25907,9.e2,"Bahia, Brazil","Brazil"
"Candido Sales",26855,"QuantityMagnitude[Missing[""NotAvailable""]]","Bahia, Brazil","Brazil"
"Nazare da Mata",25868,69.,"Pernambuco, Brazil","Brazil"
"Cachoeira Paulista",32294,"QuantityMagnitude[Missing[""NotAvailable""]]","São Paulo, Brazil","Brazil"
"Igarape‐Miri",25842,7.,"Para, Brazil","Brazil"
"Boa Viagem",25770,3.e2,"Ceara, Brazil","Brazil"
"Catende",25713,1.8e2,"Pernambuco, Brazil","Brazil"
"Carmo do Paranaiba",25658,9.6e2,"Minas Gerais, Brazil","Brazil"
"Cordeiropolis",23234,6.6e2,"São Paulo, Brazil","Brazil"
"Garibaldi",25589,6.2e2,"Rio Grande Do Sul, Brazil","Brazil"
"Jaguarao",27942,17.,"Rio Grande Do Sul, Brazil","Brazil"
"Sao Caitano",25570,5.6e2,"Pernambuco, Brazil","Brazil"
"Sombrio",26626,9.,"Santa Catarina, Brazil","Brazil"
"Afogados da Ingazeira",36547,5.2e2,"Pernambuco, Brazil","Brazil"
"Santana do Ipanema",25465,2.6e2,"Alagoas, Brazil","Brazil"
"Carangola",25413,5.1e2,"Minas Gerais, Brazil","Brazil"
"Barrinha",31230,5.4e2,"São Paulo, Brazil","Brazil"
"Itaberai",25255,7.e2,"Goias, Brazil","Brazil"
"Arraial do Cabo",27715,43.,"Rio de Janeiro, Brazil","Brazil"
"Piraju",29664,5.6e2,"São Paulo, Brazil","Brazil"
"Granja",25217,18.,"Ceara, Brazil","Brazil"
"Tangua",25202,28.,"Rio de Janeiro, Brazil","Brazil"
"Igarapava",29727,6.5e2,"São Paulo, Brazil","Brazil"
"Dois Vizinhos",25142,5.4e2,"Parana, Brazil","Brazil"
"Sao Pedro",34284,5.5e2,"São Paulo, Brazil","Brazil"
"Rancharia",29778,5.1e2,"São Paulo, Brazil","Brazil"
"Pompeu",25098,6.7e2,"Minas Gerais, Brazil","Brazil"
"Rio das Pedras",25088,6.3e2,"São Paulo, Brazil","Brazil"
"Pires do Rio",25031,7.5e2,"Goias, Brazil","Brazil"
"Goioere",24991,4.7e2,"Parana, Brazil","Brazil"
"Sao Bento do Una",24982,6.1e2,"Pernambuco, Brazil","Brazil"
"Lapa",24847,9.e2,"Parana, Brazil","Brazil"
"Sao Felix do Xingu",24837,1.9e2,"Para, Brazil","Brazil"
"Atalaia",24794,81.,"Alagoas, Brazil","Brazil"
"Soledade",30044,6.7e2,"Rio Grande Do Sul, Brazil","Brazil"
"Ulianopolis",24760,"QuantityMagnitude[Missing[""NotAvailable""]]","Para, Brazil","Brazil"
"Sao Bento",24749,4.6e2,"Paraiba, Brazil","Brazil"
"Barra de Sao Francisco",24695,2.7e2,"Espirito Santo, Brazil","Brazil"
"Dois Irmaos",24645,56.,"Rio Grande Do Sul, Brazil","Brazil"
"Tres Marias",24636,"QuantityMagnitude[Missing[""NotAvailable""]]","Minas Gerais, Brazil","Brazil"
"Colider",32120,2.8e2,"Mato Grosso, Brazil","Brazil"
"Estrela",24538,9.4e2,"Rio Grande Do Sul, Brazil","Brazil"
"Juatuba",24537,7.4e2,"Minas Gerais, Brazil","Brazil"
"Acopiara",24494,3.1e2,"Ceara, Brazil","Brazil"
"Gandu",33097,1.6e2,"Bahia, Brazil","Brazil"
"Urucuca",24409,94.,"Bahia, Brazil","Brazil"
"Brejo Santo",24346,3.8e2,"Ceara, Brazil","Brazil"
"Pombal",24318,1.9e2,"Paraiba, Brazil","Brazil"
"Miracema",24284,1.5e2,"Rio de Janeiro, Brazil","Brazil"
"Mucuri",24256,4.,"Bahia, Brazil","Brazil"
"Laranjeiras do Sul",24256,8.e2,"Parana, Brazil","Brazil"
"Marataizes",24218,32.,"Espirito Santo, Brazil","Brazil"
"Guaramirim",24195,87.,"Santa Catarina, Brazil","Brazil"
"Mangaratiba",24173,89.,"Rio de Janeiro, Brazil","Brazil"
"Pau dos Ferros",27745,2.e2,"Rio Grande do Norte, Brazil","Brazil"
"Marialva",24134,6.3e2,"Parana, Brazil","Brazil"
"Maues",24104,12.,"Amazonas, Brazil","Brazil"
"Entre Rios",24069,1.5e2,"Bahia, Brazil","Brazil"
"Campo Formoso",24065,6.2e2,"Bahia, Brazil","Brazil"
"Sao Mateus do Sul",24028,7.6e2,"Parana, Brazil","Brazil"
"Barao de Cocais",23992,7.5e2,"Minas Gerais, Brazil","Brazil"
"Taiobeiras",23983,8.1e2,"Minas Gerais, Brazil","Brazil"
"Nova Cruz",23955,75.,"Rio Grande do Norte, Brazil","Brazil"
"Sao Francisco do Conde",23930,14.,"Bahia, Brazil","Brazil"
"Obidos",23874,23.,"Para, Brazil","Brazil"
"Descalvado",32980,6.6e2,"São Paulo, Brazil","Brazil"
"Ibiuna",23823,8.5e2,"São Paulo, Brazil","Brazil"
"Capinzal",23795,6.3e2,"Santa Catarina, Brazil","Brazil"
"Jardim",23780,2.6e2,"Mato Grosso do Sul, Brazil","Brazil"
"Biritiba‐Mirim",31158,7.8e2,"São Paulo, Brazil","Brazil"
"Morro Agudo",31620,6.e2,"São Paulo, Brazil","Brazil"
"Breu Branco",23684,69.,"Para, Brazil","Brazil"
"Lagoa Vermelha",23645,8.1e2,"Rio Grande Do Sul, Brazil","Brazil"
"Lajedo",23631,6.7e2,"Pernambuco, Brazil","Brazil"
"Sao Joao Nepomuceno",23593,3.8e2,"Minas Gerais, Brazil","Brazil"
"Alexania",23814,"QuantityMagnitude[Missing[""NotAvailable""]]","Goias, Brazil","Brazil"
"Sao Goncalo do Amarante",23583,19.,"Ceara, Brazil","Brazil"
"Santa Rita do Passa Quatro",27502,7.7e2,"São Paulo, Brazil","Brazil"
"Propria",23559,7.,"Sergipe, Brazil","Brazil"
"Santo Estevao",23558,2.3e2,"Bahia, Brazil","Brazil"
"Itambe",23558,3.4e2,"Bahia, Brazil","Brazil"
"Goianira",23548,7.7e2,"Goias, Brazil","Brazil"
"Amargosa",23505,3.7e2,"Bahia, Brazil","Brazil"
"Ipu",23496,2.9e2,"Ceara, Brazil","Brazil"
"Santa Barbara",23478,7.6e2,"Minas Gerais, Brazil","Brazil"
"Armacao dos Buzios",30439,6.,"Rio de Janeiro, Brazil","Brazil"
"Sao Luis de Montes Belos",23439,6.3e2,"Goias, Brazil","Brazil"
"Casimiro de Abreu",23418,52.,"Rio de Janeiro, Brazil","Brazil"
"Portao",23334,52.,"Rio Grande Do Sul, Brazil","Brazil"
"Sao Benedito",23322,1.8e2,"Ceara, Brazil","Brazil"
"Rio Negro",23258,8.e2,"Parana, Brazil","Brazil"
"Nazare",23224,50.,"Bahia, Brazil","Brazil"
"Guanhaes",23199,8.2e2,"Minas Gerais, Brazil","Brazil"
"Tijucas",23195,1.,"Santa Catarina, Brazil","Brazil"
"Iguape",30390,4.,"São Paulo, Brazil","Brazil"
"Vargem Grande",23169,37.,"Maranhao, Brazil","Brazil"
"Sao Lourenco do Sul",23165,6.,"Rio Grande Do Sul, Brazil","Brazil"
"Santa Maria da Vitoria",23154,4.6e2,"Bahia, Brazil","Brazil"
"Trairi",23126,15.,"Ceara, Brazil","Brazil"
"Dois Corregos",26517,7.3e2,"São Paulo, Brazil","Brazil"
"Palotina",23086,3.1e2,"Parana, Brazil","Brazil"
"Capelinha",23005,1.1e3,"Minas Gerais, Brazil","Brazil"
"Forquilhinha",22998,31.,"Santa Catarina, Brazil","Brazil"
"Jaciara",22996,2.5e2,"Mato Grosso, Brazil","Brazil"
"Igaracu do Tiete",24451,5.1e2,"São Paulo, Brazil","Brazil"
"Novo Repartimento",22957,1.2e2,"Para, Brazil","Brazil"
"Baturite",22912,1.6e2,"Ceara, Brazil","Brazil"
"Santa Luzia",22909,1.9e2,"Maranhao, Brazil","Brazil"
"Sidrolandia",22842,4.9e2,"Mato Grosso do Sul, Brazil","Brazil"
"Monte Alegre",22840,91.,"Para, Brazil","Brazil"
"Buritizeiro",22792,4.9e2,"Minas Gerais, Brazil","Brazil"
"Ilha Soltera",26344,3.2e2,"São Paulo, Brazil","Brazil"
"Campos Novos",22756,8.8e2,"Santa Catarina, Brazil","Brazil"
"Colinas",22742,1.5e2,"Maranhao, Brazil","Brazil"
"Pereira Barreto",25767,3.4e2,"São Paulo, Brazil","Brazil"
"Aguas Belas",22705,3.8e2,"Pernambuco, Brazil","Brazil"
"Nova Esperanca",22682,5.4e2,"Parana, Brazil","Brazil"
"Massape",22660,79.,"Ceara, Brazil","Brazil"
"Eldorado do Sul",22653,"QuantityMagnitude[Missing[""NotAvailable""]]","Rio Grande Do Sul, Brazil","Brazil"
"Una",24650,27.,"Bahia, Brazil","Brazil"
"Jaguarari",22612,6.6e2,"Bahia, Brazil","Brazil"
"Maracas",22581,9.6e2,"Bahia, Brazil","Brazil"
"Mirandopolis",29043,4.2e2,"São Paulo, Brazil","Brazil"
"Braco do Norte",22577,89.,"Santa Catarina, Brazil","Brazil"
"Pirapozinho",26594,4.5e2,"São Paulo, Brazil","Brazil"
"Maragogipe",22516,1.4e2,"Bahia, Brazil","Brazil"
"Rio Real",22491,1.8e2,"Bahia, Brazil","Brazil"
"Joacaba",22468,5.4e2,"Santa Catarina, Brazil","Brazil"
"Jaguaribe",22455,1.2e2,"Ceara, Brazil","Brazil"
"Sao Francisco de Itabapoana",22419,"QuantityMagnitude[Missing[""NotAvailable""]]","Rio de Janeiro, Brazil","Brazil"
"Aracuai",22400,2.9e2,"Minas Gerais, Brazil","Brazil"
"Muritiba",22388,2.2e2,"Bahia, Brazil","Brazil"
"Laranjal Paulista",27384,5.6e2,"São Paulo, Brazil","Brazil"
"Cururupu",22359,25.,"Maranhao, Brazil","Brazil"
"Casa Branca",29877,7.1e2,"São Paulo, Brazil","Brazil"
"Piracaia",26688,8.5e2,"São Paulo, Brazil","Brazil"
"Itai",26042,5.8e2,"São Paulo, Brazil","Brazil"
"Mae do Rio",29112,"QuantityMagnitude[Missing[""NotAvailable""]]","Para, Brazil","Brazil"
"Pocone",22272,1.6e2,"Mato Grosso, Brazil","Brazil"
"Campos Gerais",22260,8.4e2,"Minas Gerais, Brazil","Brazil"
"Nova Russas",22194,2.4e2,"Ceara, Brazil","Brazil"
"Moju",22137,10.,"Para, Brazil","Brazil"
"Portel",22132,4.,"Para, Brazil","Brazil"
"Ouro Fino",22115,5.3e2,"Minas Gerais, Brazil","Brazil"
"Extrema",22085,8.8e2,"Minas Gerais, Brazil","Brazil"
"Mateus Leme",22063,8.e2,"Minas Gerais, Brazil","Brazil"
"Pindare Mirim",22063,14.,"Maranhao, Brazil","Brazil"
"Pedra Azul",22052,6.2e2,"Minas Gerais, Brazil","Brazil"
"Guaranta do Norte",34500,3.2e2,"Mato Grosso, Brazil","Brazil"
"Pomerode",25000,91.,"Santa Catarina, Brazil","Brazil"
"Varzea Alegre",21997,3.2e2,"Ceara, Brazil","Brazil"
"Ibaiti",21966,8.e2,"Parana, Brazil","Brazil"
"Eldorado dos Carajas",32780,1.2e2,"Para, Brazil","Brazil"
"Labrea",21943,57.,"Amazonas, Brazil","Brazil"
"Rosario",21936,16.,"Maranhao, Brazil","Brazil"
"Esperantina",21906,64.,"Piaui, Brazil","Brazil"
"Laranjeiras",29418,36.,"Sergipe, Brazil","Brazil"
"Neropolis",21870,8.3e2,"Goias, Brazil","Brazil"
"Claudio",21824,8.6e2,"Minas Gerais, Brazil","Brazil"
"Guaiuba",21820,1.4e2,"Ceara, Brazil","Brazil"
"Socorro",21798,7.7e2,"São Paulo, Brazil","Brazil"
"Jaguaruana",21790,13.,"Ceara, Brazil","Brazil"
"Pedro II",21740,5.8e2,"Piaui, Brazil","Brazil"
"Capao de Leao",25382,64.,"Rio Grande Do Sul, Brazil","Brazil"
"Santa Rosa de Viterbo",25666,7.2e2,"São Paulo, Brazil","Brazil"
"Sao Joao da Barra",21672,6.,"Rio de Janeiro, Brazil","Brazil"
"Posse",21671,7.9e2,"Goias, Brazil","Brazil"
"Morro de Chapeu",21670,1.1e3,"Bahia, Brazil","Brazil"
"Prudentopolis",21661,7.4e2,"Parana, Brazil","Brazil"
"Conchal",27132,5.9e2,"São Paulo, Brazil","Brazil"
"Uruara",44789,1.9e2,"Para, Brazil","Brazil"
"Juquitiba",30642,7.3e2,"São Paulo, Brazil","Brazil"
"Baixo Guandu",21577,88.,"Espirito Santo, Brazil","Brazil"
"Frederico Westphalen",21544,5.4e2,"Rio Grande Do Sul, Brazil","Brazil"
"Remanso",21535,4.1e2,"Bahia, Brazil","Brazil"
"Sao Gabriel da Palha",21502,1.3e2,"Espirito Santo, Brazil","Brazil"
"Taquarituba",23163,6.e2,"São Paulo, Brazil","Brazil"
"Piedade",21483,8.1e2,"São Paulo, Brazil","Brazil"
"Santana do Paraiso",21453,2.7e2,"Minas Gerais, Brazil","Brazil"
"Pedro Canario",21421,"QuantityMagnitude[Missing[""NotAvailable""]]","Espirito Santo, Brazil","Brazil"
"Taquari",21393,42.,"Rio Grande Do Sul, Brazil","Brazil"
"Petrolandia",21393,3.e2,"Pernambuco, Brazil","Brazil"
"Xaxim",25713,7.8e2,"Santa Catarina, Brazil","Brazil"
"Rio Branco do Sul",21356,9.5e2,"Parana, Brazil","Brazil"
"Sena Madureira",21356,1.5e2,"Acre, Brazil","Brazil"
"Serra Negra",28321,1.e3,"São Paulo, Brazil","Brazil"
"Coromandel",21331,9.2e2,"Minas Gerais, Brazil","Brazil"
"Condado",21310,1.1e2,"Pernambuco, Brazil","Brazil"
"Itupiranga",21301,1.1e2,"Para, Brazil","Brazil"
"Teutonia",21292,1.2e2,"Rio Grande Do Sul, Brazil","Brazil"
"Miguel Pereira",21282,6.4e2,"Rio de Janeiro, Brazil","Brazil"
"Mauriti",21277,4.6e2,"Ceara, Brazil","Brazil"
"Vassouras",21243,4.5e2,"Rio de Janeiro, Brazil","Brazil"
"Astorga",24698,6.7e2,"Parana, Brazil","Brazil"
"Barra do Choca",21233,8.6e2,"Bahia, Brazil","Brazil"
"Iacu",21205,2.4e2,"Bahia, Brazil","Brazil"
"Paracuru",21196,0,"Ceara, Brazil","Brazil"
"Ruy Barbosa",21102,3.6e2,"Bahia, Brazil","Brazil"
"Sento Se",21064,5.2e2,"Bahia, Brazil","Brazil"
"Barra",21026,4.1e2,"Bahia, Brazil","Brazil"
"Guararema",28344,6.1e2,"São Paulo, Brazil","Brazil"
"Barras",20999,86.,"Piaui, Brazil","Brazil"
"Macau",20989,4.,"Rio Grande do Norte, Brazil","Brazil"
"Santo Antonio do Monte",20954,9.4e2,"Minas Gerais, Brazil","Brazil"
"Joao Camara",20930,1.5e2,"Rio Grande do Norte, Brazil","Brazil"
"Conceicao do Jacuipe",20867,2.e2,"Bahia, Brazil","Brazil"
"Murici",20839,1.1e2,"Alagoas, Brazil","Brazil"
"Itamarandiba",20824,1.e3,"Minas Gerais, Brazil","Brazil"
"Sarzedo",20798,8.1e2,"Minas Gerais, Brazil","Brazil"
"Tupaciguara",20759,8.8e2,"Minas Gerais, Brazil","Brazil"
"Eirunepe",20742,1.2e2,"Amazonas, Brazil","Brazil"
"Oeiras",20740,1.7e2,"Piaui, Brazil","Brazil"
"Santa Quiteria",20736,1.9e2,"Ceara, Brazil","Brazil"
"Pedra Branca",20720,5.e2,"Ceara, Brazil","Brazil"
"Veranopolis",20712,6.2e2,"Rio Grande Do Sul, Brazil","Brazil"
"Alvares Machado",24651,3.7e2,"São Paulo, Brazil","Brazil"
"Pitangui",20665,7.1e2,"Minas Gerais, Brazil","Brazil"
"Paty do Alferes",25132,6.2e2,"Rio de Janeiro, Brazil","Brazil"
"Quarai",20658,1.1e2,"Rio Grande Do Sul, Brazil","Brazil"
"Amelia Rodrigues",26441,"QuantityMagnitude[Missing[""NotAvailable""]]","Bahia, Brazil","Brazil"
"Mantena",20620,2.5e2,"Minas Gerais, Brazil","Brazil"
"Tucuma",20568,7.,"Para, Brazil","Brazil"
"Sao Luis do Quitunde",20563,4.,"Alagoas, Brazil","Brazil"
"Pilar do Sul",28309,7.e2,"São Paulo, Brazil","Brazil"
"Flores da Cunha",27135,7.6e2,"Rio Grande Do Sul, Brazil","Brazil"
"Pirai",20497,4.1e2,"Rio de Janeiro, Brazil","Brazil"
"Esperanca",20484,5.9e2,"Paraiba, Brazil","Brazil"
"Almeirim",20464,14.,"Para, Brazil","Brazil"
"Colorado",22345,4.3e2,"Parana, Brazil","Brazil"
"Queimadas",43667,4.6e2,"Paraiba, Brazil","Brazil"
"Caxambu",20432,9.3e2,"Minas Gerais, Brazil","Brazil"
"Mirassol dOeste",26596,"QuantityMagnitude[Missing[""NotAvailable""]]","Mato Grosso, Brazil","Brazil"
"Matriz de Camaragibe",20373,70.,"Alagoas, Brazil","Brazil"
"Abaete",20370,6.2e2,"Minas Gerais, Brazil","Brazil"
"Santaluz",20364,3.6e2,"Bahia, Brazil","Brazil"
"Pentecoste",20359,62.,"Ceara, Brazil","Brazil"
"Tres Coroas",20338,2.5e2,"Rio Grande Do Sul, Brazil","Brazil"
"Buique",20324,8.3e2,"Pernambuco, Brazil","Brazil"
"Goianesia do Para",38677,"QuantityMagnitude[Missing[""NotAvailable""]]","Para, Brazil","Brazil"
"Corinto",20277,6.4e2,"Minas Gerais, Brazil","Brazil"
"Rio Brilhante",20270,3.1e2,"Mato Grosso do Sul, Brazil","Brazil"
"Campo Verde",20244,4.5e2,"Mato Grosso, Brazil","Brazil"
"Tanabi",25467,5.1e2,"São Paulo, Brazil","Brazil"
"Castelo",20198,1.9e2,"Espirito Santo, Brazil","Brazil"
"Cangucu",53259,4.e2,"Rio Grande Do Sul, Brazil","Brazil"
"Guabiruba",18430,"QuantityMagnitude[Missing[""NotAvailable""]]","Santa Catarina, Brazil","Brazil"
"Penha",20096,6.,"Santa Catarina, Brazil","Brazil"
"Cambui",20059,8.8e2,"Minas Gerais, Brazil","Brazil"
"Guapore",22810,4.9e2,"Rio Grande Do Sul, Brazil","Brazil"
"Cajuru",25230,8.1e2,"São Paulo, Brazil","Brazil"
"Jose de Freitas",20010,1.3e2,"Piaui, Brazil","Brazil"
"Arapoti",25855,8.7e2,"Parana, Brazil","Brazil"
"Joao Lisboa",20381,1.9e2,"Maranhao, Brazil","Brazil"
"Caracarai",20537,52.,"Roraima, Brazil","Brazil"
"Quedas do Iguacu",19973,5.6e2,"Parana, Brazil","Brazil"
"Acreuna",20279,"QuantityMagnitude[Missing[""NotAvailable""]]","Goias, Brazil","Brazil"
"Tambau",23214,6.9e2,"São Paulo, Brazil","Brazil"
"Piratini",19841,"QuantityMagnitude[Missing[""NotAvailable""]]","Rio Grande Do Sul, Brazil","Brazil"
"Alegre",19951,2.6e2,"Espirito Santo, Brazil","Brazil"
"Ibirataia",19942,1.5e2,"Bahia, Brazil","Brazil"
"Livramento",19914,4.8e2,"Bahia, Brazil","Brazil"
"Itaparica",20641,13.,"Bahia, Brazil","Brazil"
"Prata",19896,6.4e2,"Minas Gerais, Brazil","Brazil"
"Itubera",19887,55.,"Bahia, Brazil","Brazil"
"Amambai",19883,4.7e2,"Mato Grosso do Sul, Brazil","Brazil"
"Igarape‐Acu",19868,29.,"Para, Brazil","Brazil"
"Andira",20610,4.6e2,"Parana, Brazil","Brazil"
"Cantagalo",19830,4.2e2,"Rio de Janeiro, Brazil","Brazil"
"Esplanada",19828,1.5e2,"Bahia, Brazil","Brazil"
"Guacui",19822,6.e2,"Espirito Santo, Brazil","Brazil"
"Catole do Rocha",19812,2.8e2,"Paraiba, Brazil","Brazil"
"Peixoto de Azevedo",33630,2.7e2,"Mato Grosso, Brazil","Brazil"
"Itabela",19742,"QuantityMagnitude[Missing[""NotAvailable""]]","Bahia, Brazil","Brazil"
"Itapuranga",19709,6.5e2,"Goias, Brazil","Brazil"
"Imbituva",19671,8.8e2,"Parana, Brazil","Brazil"
"Ibicarai",19574,1.7e2,"Bahia, Brazil","Brazil"
"Vicosa",19573,2.3e2,"Alagoas, Brazil","Brazil"
"Sao Raimundo Nonato",19569,3.7e2,"Piaui, Brazil","Brazil"
"Sao Miguel Arcanjo",32769,7.e2,"São Paulo, Brazil","Brazil"
"Santa Cruz Cabralia",19545,27.,"Bahia, Brazil","Brazil"
"Sao Joao dos Patos",19538,3.8e2,"Maranhao, Brazil","Brazil"
"Butia",19494,45.,"Rio Grande Do Sul, Brazil","Brazil"
"Sao Goncalo do Sapucai",23906,8.5e2,"Minas Gerais, Brazil","Brazil"
"Campo Novo do Parecis",19486,"QuantityMagnitude[Missing[""NotAvailable""]]","Mato Grosso, Brazil","Brazil"
"Pinheiral",19469,3.7e2,"Rio de Janeiro, Brazil","Brazil"
"Gameleira",19423,1.1e2,"Pernambuco, Brazil","Brazil"
"Eloi Mendes",19413,8.8e2,"Minas Gerais, Brazil","Brazil"
"Cambara",19371,4.5e2,"Parana, Brazil","Brazil"
"Sao Jose do Norte",25503,"QuantityMagnitude[Missing[""NotAvailable""]]","Rio Grande Do Sul, Brazil","Brazil"
"Trindade",19313,5.1e2,"Pernambuco, Brazil","Brazil"
"Conceicao da Barra",19309,4.,"Espirito Santo, Brazil","Brazil"
"Sobradinho",23511,1.9e2,"Bahia, Brazil","Brazil"
"Nova Olimpia",19274,2.1e2,"Mato Grosso, Brazil","Brazil"
"Sao Sepe",19181,1.2e2,"Rio Grande Do Sul, Brazil","Brazil"
"Paraopeba",22563,7.3e2,"Minas Gerais, Brazil","Brazil"
"Aimores",19133,83.,"Minas Gerais, Brazil","Brazil"
"Carlos Barbosa",19105,6.2e2,"Rio Grande Do Sul, Brazil","Brazil"
"Itabaiana",19100,46.,"Paraiba, Brazil","Brazil"
"Goias",19098,6.5e2,"Goias, Brazil","Brazil"
"Cupira",19096,4.4e2,"Pernambuco, Brazil","Brazil"
"Sao Sebastiao do Cai",19012,17.,"Rio Grande Do Sul, Brazil","Brazil"
"Viseu",18958,14.,"Para, Brazil","Brazil"
"Nepomuceno",18911,8.3e2,"Minas Gerais, Brazil","Brazil"
"Canguaretama",18873,11.,"Rio Grande do Norte, Brazil","Brazil"
