"City","Population","Elevation","AdministrativeDivision","Country"
"Arroyo Concepcion",4188,"QuantityMagnitude[Missing[""NotAvailable""]]","Santa Cruz, Bolivia","Bolivia"
"San Carlos",4180,3.2e2,"Santa Cruz, Bolivia","Bolivia"
"Agustin Saavedra",4149,2.8e2,"Santa Cruz, Bolivia","Bolivia"
"Jorochito",4013,5.9e2,"Santa Cruz, Bolivia","Bolivia"
"Colquiri",4004,4.4e3,"La Paz, Bolivia","Bolivia"
"Colomi",3699,3.3e3,"Cochabamba, Bolivia","Bolivia"
"Guanay",3915,7.2e2,"La Paz, Bolivia","Bolivia"
"Arani",3512,2.8e3,"Cochabamba, Bolivia","Bolivia"
"Sipe Sipe",41571,2.6e3,"Cochabamba, Bolivia","Bolivia"
"San Juan",3707,3.4e2,"Santa Cruz, Bolivia","Bolivia"
"Limoncito",3064,6.3e2,"Santa Cruz, Bolivia","Bolivia"
"San Joaquin",4589,2.3e2,"Beni, Bolivia","Bolivia"
"Urubicha",3267,2.9e2,"Santa Cruz, Bolivia","Bolivia"
"Samaipata",3248,1.5e3,"Santa Cruz, Bolivia","Bolivia"
"Lahuachaca",3595,3.9e3,"La Paz, Bolivia","Bolivia"
"Santiago de Huari",3181,3.7e3,"Oruro, Bolivia","Bolivia"
"Boyuibe",3075,8.e2,"Santa Cruz, Bolivia","Bolivia"
"Los Negros",3046,4.2e2,"Santa Cruz, Bolivia","Bolivia"
"Charagua",3025,8.5e2,"Santa Cruz, Bolivia","Bolivia"
"Villa Serano",3016,2.2e3,"Chuquisaca, Bolivia","Bolivia"
"San Pedro",2990,2.7e2,"Santa Cruz, Bolivia","Bolivia"
"Irpa Irpa",2721,2.4e3,"Cochabamba, Bolivia","Bolivia"
"Chulumani",2952,1.6e3,"La Paz, Bolivia","Bolivia"
"San Lorenzo",2921,2.e3,"Tarija, Bolivia","Bolivia"
"Padilla",3697,2.1e3,"Chuquisaca, Bolivia","Bolivia"
"Mizque",26659,2.1e3,"Cochabamba, Bolivia","Bolivia"
"El Carmen",2885,3.e2,"Santa Cruz, Bolivia","Bolivia"
"Valle Sanchez",2799,"QuantityMagnitude[Missing[""NotAvailable""]]","Santa Cruz, Bolivia","Bolivia"
"Entre Rios",2800,1.2e3,"Tarija, Bolivia","Bolivia"
"Puerto Pailas",3141,3.e2,"Santa Cruz, Bolivia","Bolivia"
"Mapiri",2561,9.8e2,"La Paz, Bolivia","Bolivia"
"Tipuani",2563,7.8e2,"La Paz, Bolivia","Bolivia"
"La Angostura",2513,1.4e3,"Santa Cruz, Bolivia","Bolivia"
"Tunari",2510,"QuantityMagnitude[Missing[""NotAvailable""]]","Cochabamba, Bolivia","Bolivia"
"Muyupampa",2488,"QuantityMagnitude[Missing[""NotAvailable""]]","Chuquisaca, Bolivia","Bolivia"
"Ucurena",2306,"QuantityMagnitude[Missing[""NotAvailable""]]","Cochabamba, Bolivia","Bolivia"
"Santa Rita",2444,5.5e2,"Santa Cruz, Bolivia","Bolivia"
"Santa Barbara",2505,4.7e3,"Potosi, Bolivia","Bolivia"
"Tarabuco",2442,3.3e3,"Chuquisaca, Bolivia","Bolivia"
"Abapo",2419,9.2e2,"Santa Cruz, Bolivia","Bolivia"
"Quime",2439,3.1e3,"La Paz, Bolivia","Bolivia"
"San Rafael",2057,3.9e2,"Santa Cruz, Bolivia","Bolivia"
