"mname","pop","country","adm","admi"
"Cotopaxi, Ecuador",409205,"Ecuador","Cotopaxi","EC-X"
"El Oro, Ecuador",600659,"Ecuador","El Oro","EC-O"
"Esmeraldas, Ecuador",534092,"Ecuador","Esmeraldas","EC-E"
"Galapagos, Ecuador",25124,"Ecuador","Galapagos","EC-W"
"Guayas, Ecuador",3645483,"Ecuador","Guayas","EC-G"
"Imbabura, Ecuador",398244,"Ecuador","Imbabura","EC-I"
"Loja, Ecuador",448966,"Ecuador","Loja","EC-L"
"Los Rios, Ecuador",778115,"Ecuador","Los Rios","EC-R"
"Manabi, Ecuador",1369780,"Ecuador","Manabi","EC-M"
"Morona Santiago, Ecuador",147940,"Ecuador","Morona-Santiago","EC-S"
"Napo, Ecuador",103697,"Ecuador","Napo","EC-N"
"Orellana, Ecuador",136396,"Ecuador","Orellana","EC-D"
"Pastaza, Ecuador",83933,"Ecuador","Pastaza","EC-Y"
"Pichincha, Ecuador",2576287,"Ecuador","Pichincha","EC-P"
"Santa Elena, Ecuador",308693,"Ecuador","Santa Elena","EC-SE"
"Santo Domingo de los Tsáchilas, Ecuador",368013,"Ecuador","Santo Domingo de los Tsachilas","EC-SD"
"Sucumbios, Ecuador",176472,"Ecuador","Sucumbios","EC-U"
"Tungurahua, Ecuador",504583,"Ecuador","Tungurahua","EC-T"
"Zamora Chinchipe, Ecuador",91376,"Ecuador","Zamora-Chinchipe","EC-Z"
"Amazonas, Peru",375993,"Peru","Amazonas","PE-AMA"
"Ancash, Peru",1063459,"Peru","Ancash","PE-ANC"
"Apurímac, Peru",404190,"Peru","Apurimac","PE-APU"
"Arequipa, Peru",1152303,"Peru","Arequipa","PE-ARE"
"Ayacucho, Peru",612489,"Peru","Ayacucho","PE-AYA"
"Cajamarca, Peru",1387809,"Peru","Cajamarca","PE-CAJ"
"Callao, Peru",876877,"Peru","Callao","PE-CAL"
"Cusco, Peru",1171403,"Peru","Cusco","PE-CUS"
"Huancavelica, Peru",454797,"Peru","Huancavelica","PE-HUV"
"Huánuco, Peru",762223,"Peru","Huanuco","PE-HUC"
"Ica, Peru",711932,"Peru","Ica","PE-ICA"
"Junín, Peru",1225474,"Peru","Junin","PE-JUN"
"La Libertad, Peru",1617050,"Peru","La Libertad","PE-LAL"
"Lambayeque, Peru",1112868,"Peru","Lambayeque","PE-LAM"
"Lima, Peru",7605742,"Peru","Lima","PE-LIM"
"Loreto, Peru",891732,"Peru","Loreto","PE-LOR"
"Madre de Dios, Peru",109555,"Peru","Madre de Dios","PE-MDD"
"Moquegua, Peru",161533,"Peru","Moquegua","PE-MOQ"
"Pasco, Peru",280449,"Peru","Pasco","PE-PAS"
"Piura, Peru",1676315,"Peru","Piura","PE-PIU"
"Puno, Peru",1268441,"Peru","Puno","PE-PUN"
"San Martín, Peru",728808,"Peru","San Martin","PE-SAM"
"Tacna, Peru",288781,"Peru","Tacna","PE-TAC"
"Tumbes, Peru",200306,"Peru","Tumbes","PE-TUM"
"Ucayali, Peru",432159,"Peru","Ucayali","PE-UCA"
"Alto Paraguay, Paraguay",17219,"Paraguay","Alto Paraguay","PY-16"
"Alto Parana, Paraguay",785747,"Paraguay","Alto Parana","PY-10"
"Amambay, Paraguay",164462,"Paraguay","Amambay","PY-13"
"Asuncion, Paraguay",515587,"Paraguay","Asuncion","PY-ASU"
"Boqueron, Paraguay",63011,"Paraguay","Boqueron","PY-19"
"Caaguazu, Paraguay",545904,"Paraguay","Caaguazu","PY-5"
"Caazapa, Paraguay",184530,"Paraguay","Caazapa","PY-6"
"Canendiyu, Paraguay",140137,"Paraguay","Canindeyu","PY-14"
"Central, Paraguay",2072041,"Paraguay","Central","PY-11"
"Concepcion, Paraguay",244071,"Paraguay","Concepcion","PY-1"
"Cordillera, Paraguay",299234,"Paraguay","Cordillera","PY-3"
"Guaira, Paraguay",220818,"Paraguay","Guaira","PY-4"
"Itapua, Paraguay",592017,"Paraguay","Itapua","PY-7"
"Misiones, Paraguay",123442,"Paraguay","Misiones","PY-8"
"Neembucu, Paraguay",88784,"Paraguay","Neembucu","PY-12"
"Paraguari, Paraguay",254884,"Paraguay","Paraguari","PY-9"
"Presidente Hayes, Paraguay",121075,"Paraguay","Presidente Hayes","PY-15"
"San Pedro, Paraguay",419629,"Paraguay","San Pedro","PY-2"
"Artigas, Uruguay",73378,"Uruguay","Artigas","UY-AR"
"Canelones, Uruguay",520187,"Uruguay","Canelones","UY-CA"
